,no_6,value_6,no_5,value_5,no_4,value_4,no_3,value_3,winning_tickets,winnings
18-07-2020,0.0,0.0,68.0,279371.19999999995,2997.0,389310.3,53629.0,1287096.0,56694.0,1955777.5
16-07-2020,0.0,0.0,51.0,204765.0,2364.0,237582.0,41297.0,991128.0,43712.0,1433475.0
14-07-2020,0.0,0.0,41.0,194344.1,2058.0,252310.8,38073.0,913752.0,40172.0,1360406.9
11-07-2020,0.0,0.0,47.0,243196.8,2342.0,442169.60000000003,42385.0,1017240.0,44774.0,1702606.4
09-07-2020,1.0,4541809.0,31.0,214120.1,1926.0,360932.4,38496.0,923904.0,40454.0,6040765.5
07-07-2020,0.0,0.0,42.0,198756.6,2276.0,234883.2,39909.0,957816.0,42227.0,1391455.8
04-07-2020,0.0,0.0,49.0,236527.90000000002,2445.0,362593.5,44028.0,1056672.0,46522.0,1655793.4
02-07-2020,0.0,0.0,43.0,176386.0,2261.0,130233.6,38676.0,928224.0,40980.0,1234843.6
30-06-2020,1.0,7427837.9,52.0,238862.0,2401.0,406969.5,42762.0,1026288.0,45216.0,9099957.4
27-06-2020,0.0,0.0,40.0,281180.0,2195.0,674523.5,42189.0,1012536.0,44424.0,1968239.5
25-06-2020,0.0,0.0,57.0,207269.1,1940.0,504788.0,30784.0,738816.0,32781.0,1450873.1
23-06-2020,0.0,0.0,29.0,203295.8,1822.0,413411.8,33604.0,806496.0,35455.0,1423203.6
20-06-2020,0.0,0.0,39.0,245434.8,2015.0,512011.5,40029.0,960696.0,42083.0,1718142.3
18-06-2020,0.0,0.0,34.0,174491.40000000002,1788.0,240664.8,33599.0,806376.0,35421.0,1221532.2
16-06-2020,2.0,4492900.8,110.0,215072.0,2738.0,253265.0,43224.0,1037376.0,46074.0,5998613.8
13-06-2020,0.0,0.0,39.0,250220.09999999998,2458.0,415402.0,45253.0,1086072.0,47750.0,1751694.1
11-06-2020,0.0,0.0,30.0,167733.0,1754.0,219600.80000000002,32784.0,786816.0,34568.0,1174149.8
09-06-2020,0.0,0.0,39.0,183877.2,2026.0,277562.0,34406.0,825744.0,36471.0,1287183.2
06-06-2020,1.0,7549728.1,60.0,302514.0,3026.0,548916.4,52759.0,1266216.0,55846.0,9667374.5
04-06-2020,0.0,0.0,56.0,222527.19999999998,2427.0,296822.1,43269.0,1038456.0,45752.0,1557805.2999999998
02-06-2020,0.0,0.0,21.0,217641.9,1901.0,428295.30000000005,36570.0,877680.0,38492.0,1523617.2000000002
30-05-2020,0.0,0.0,33.0,260287.5,2182.0,532844.4,42872.0,1028928.0,45087.0,1822059.9
28-05-2020,0.0,0.0,45.0,186291.0,2049.0,272721.89999999997,35217.0,845208.0,37311.0,1304220.9
26-05-2020,0.0,0.0,38.0,183426.0,1934.0,235948.0,36025.0,864600.0,37997.0,1283974.0
23-05-2020,1.0,10509175.0,130.0,333177.0,3331.0,525631.8,61396.0,1473504.0,64858.0,12841487.8
21-05-2020,0.0,0.0,35.0,247625.0,1987.0,504300.60000000003,40901.0,981624.0,42923.0,1733549.6
19-05-2020,0.0,0.0,29.0,235767.09999999998,2171.0,430509.30000000005,41011.0,984264.0,43211.0,1650540.4
16-05-2020,0.0,0.0,50.0,282035.0,2616.0,509858.4,49271.0,1182504.0,51937.0,1974397.4
14-05-2020,0.0,0.0,43.0,211009.6,1948.0,431871.6,34764.0,834336.0,36755.0,1477217.2
12-05-2020,0.0,0.0,34.0,196254.8,2022.0,357085.2,34192.0,820608.0,36248.0,1373948.0
09-05-2020,0.0,0.0,35.0,231157.5,1719.0,497134.8,37076.0,889824.0,38830.0,1618116.3
07-05-2020,0.0,0.0,41.0,173753.9,2493.0,89748.0,39760.0,954240.0,42294.0,1217741.9
05-05-2020,1.0,6698794.1,29.0,220411.59999999998,1785.0,489090.0,34728.0,833472.0,36543.0,8241767.699999999
02-05-2020,0.0,0.0,33.0,212483.69999999998,1875.0,407062.5,36165.0,867960.0,38073.0,1487506.2
30-04-2020,0.0,0.0,46.0,220988.6,1966.0,400081.0,38579.0,925896.0,40591.0,1546965.6
28-04-2020,0.0,0.0,39.0,182379.59999999998,1910.0,267973.0,34433.0,826392.0,36382.0,1276744.6
25-04-2020,0.0,0.0,53.0,219515.40000000002,2486.0,253074.8,44335.0,1064040.0,46874.0,1536630.2
23-04-2020,0.0,0.0,19.0,162195.4,1446.0,337207.2,26504.0,636096.0,27969.0,1135498.6
21-04-2020,1.0,2000000.0,56.0,162769.6,2065.0,200924.5,32322.0,775728.0,34444.0,3139422.1
18-04-2020,0.0,0.0,32.0,198531.2,1734.0,427257.60000000003,31832.0,763968.0,33598.0,1389756.8
16-04-2020,1.0,2000000.0,41.0,157198.1,1807.0,167508.9,32322.0,775728.0,34171.0,3100435.0
14-04-2020,0.0,0.0,26.0,126544.6,1410.0,175545.0,24324.0,583776.0,25760.0,885865.6
11-04-2020,1.0,2000000.0,35.0,209349.0,1858.0,424924.6,34636.0,831264.0,36530.0,3465537.6
09-04-2020,1.0,23769336.1,85.0,316676.0,3324.0,452064.0,60338.0,1448112.0,63748.0,25986188.1
07-04-2020,0.0,0.0,57.0,290990.7,2810.0,521255.0,51030.0,1224720.0,53897.0,2036965.7
04-04-2020,0.0,0.0,40.0,319264.0,2948.0,560709.6,56460.0,1355040.0,59448.0,2235013.6
02-04-2020,0.0,0.0,57.0,249791.1,2608.0,392243.2,46103.0,1106472.0,48768.0,1748506.3
31-03-2020,0.0,0.0,43.0,255106.1,2610.0,384714.0,47751.0,1146024.0,50404.0,1785844.1
28-03-2020,0.0,0.0,49.0,290305.4,3215.0,335967.5,58589.0,1406136.0,61853.0,2032408.9
26-03-2020,0.0,0.0,65.0,234903.5,2940.0,233142.0,49022.0,1176528.0,52027.0,1644573.5
24-03-2020,0.0,0.0,39.0,232490.7,2348.0,374975.6,42502.0,1020048.0,44889.0,1627514.3
21-03-2020,0.0,0.0,64.0,274278.4,3235.0,305707.5,55843.0,1340232.0,59142.0,1920217.9
19-03-2020,0.0,0.0,40.0,221100.0,1996.0,413571.19999999995,38044.0,913056.0,40080.0,1547727.2
17-03-2020,0.0,0.0,47.0,202330.3,2182.0,257694.19999999998,39854.0,956496.0,42083.0,1416520.5
14-03-2020,0.0,0.0,40.0,277256.0,2551.0,474741.1,49539.0,1188936.0,52130.0,1940933.1
12-03-2020,0.0,0.0,38.0,233092.0,1941.0,470692.5,38665.0,927960.0,40644.0,1631744.5
10-03-2020,0.0,0.0,31.0,240144.6,1984.0,493619.2,39470.0,947280.0,41485.0,1681043.8
07-03-2020,0.0,0.0,54.0,291357.0,2969.0,516309.10000000003,51326.0,1231824.0,54349.0,2039490.1
05-03-2020,0.0,0.0,37.0,197661.4,2331.0,244755.0,39225.0,941400.0,41593.0,1383816.4
03-03-2020,0.0,0.0,21.0,194995.5,1716.0,372886.80000000005,33215.0,797160.0,34952.0,1365042.3
29-02-2020,1.0,2000000.0,57.0,266435.10000000003,2415.0,526711.5,44663.0,1071912.0,47136.0,3865058.6
27-02-2020,1.0,10516417.6,51.0,316674.3,2832.0,638616.0,52566.0,1261584.0,55450.0,12733291.9
25-02-2020,0.0,0.0,57.0,290916.60000000003,3546.0,312757.2,59699.0,1432776.0,63302.0,2036449.8
22-02-2020,0.0,0.0,42.0,335857.2,3019.0,643952.7000000001,57144.0,1371456.0,60205.0,2351265.9000000004
20-02-2020,0.0,0.0,43.0,244919.4,2126.0,487066.6,40942.0,982608.0,43111.0,1714594.0
18-02-2020,0.0,0.0,36.0,226605.6,2197.0,372391.5,41143.0,987432.0,43376.0,1586429.1
15-02-2020,0.0,0.0,42.0,287351.39999999997,2912.0,424278.39999999997,54169.0,1300056.0,57123.0,2011685.7999999998
13-02-2020,0.0,0.0,42.0,209764.8,2027.0,358981.7,37491.0,899784.0,39560.0,1468530.5
11-02-2020,1.0,7232580.3,67.0,272750.3,3238.0,377227.0,52481.0,1259544.0,55787.0,9142101.6
08-02-2020,0.0,0.0,65.0,336869.0,3282.0,588790.8,59693.0,1432632.0,63040.0,2358291.8
06-02-2020,0.0,0.0,44.0,230080.40000000002,2268.0,368550.0,42170.0,1012080.0,44482.0,1610710.4
04-02-2020,0.0,0.0,27.0,210019.5,1779.0,409703.7,35440.0,850560.0,37246.0,1470283.2
01-02-2020,0.0,0.0,44.0,265306.8,2635.0,380494.0,50479.0,1211496.0,53158.0,1857296.8
30-01-2020,1.0,29007416.4,105.0,584850.0,4837.0,1220858.8,95353.0,2288472.0,100296.0,33101597.2
28-01-2020,0.0,0.0,87.0,546829.7999999999,4975.0,1028332.5,93861.0,2252664.0,98923.0,3827826.3
25-01-2020,0.0,0.0,117.0,554907.6,5266.0,934715.0,99790.0,2394960.0,105173.0,3884582.6
23-01-2020,0.0,0.0,66.0,427383.0,3479.0,923326.6,68379.0,1641096.0,71924.0,2991805.6
21-01-2020,0.0,0.0,79.0,395853.2,4104.0,576201.6,74966.0,1799184.0,79149.0,2771238.8
18-01-2020,0.0,0.0,66.0,431587.2,3837.0,852965.1000000001,72368.0,1736832.0,76271.0,3021384.3
16-01-2020,0.0,0.0,39.0,327178.80000000005,2409.0,814242.0,47872.0,1148928.0,50320.0,2290348.8
14-01-2020,0.0,0.0,41.0,320037.8,2833.0,639974.7000000001,53353.0,1280472.0,56227.0,2240484.5
11-01-2020,0.0,0.0,49.0,361262.3,2975.0,826455.0,55886.0,1341264.0,58910.0,2528981.3
09-01-2020,0.0,0.0,60.0,255180.0,2989.0,283357.2,51996.0,1247904.0,55045.0,1786441.2
07-01-2020,0.0,0.0,33.0,205847.4,2011.0,305269.80000000005,38749.0,929976.0,40793.0,1441093.2000000002
04-01-2020,0.0,0.0,36.0,310669.2,2679.0,581610.9,53438.0,1282512.0,56153.0,2174792.1
02-01-2020,0.0,0.0,25.0,175672.5,1608.0,271108.8,32623.0,782952.0,34256.0,1229733.3
31-12-2019,0.0,0.0,55.0,376860.0,3191.0,785943.3,61474.0,1475376.0,64720.0,2638179.3
28-12-2019,1.0,2189691.3,74.0,276908.0,2682.0,490269.60000000003,48806.0,1171344.0,51563.0,4128212.9
26-12-2019,0.0,0.0,27.0,121221.9,1107.0,254720.69999999998,19695.0,472680.0,20829.0,848622.6
24-12-2019,1.0,13180786.5,116.0,507511.60000000003,5840.0,589840.0,102319.0,2455656.0,108276.0,16733794.1
21-12-2019,0.0,0.0,113.0,376922.8,3245.0,781071.5,61684.0,1480416.0,65042.0,2638410.3
19-12-2019,0.0,0.0,60.0,270042.0,2665.0,442922.99999999994,49062.0,1177488.0,51787.0,1890453.0
17-12-2019,0.0,0.0,53.0,264841.0,2753.0,423136.1,48591.0,1166184.0,51397.0,1854161.1
14-12-2019,0.0,0.0,55.0,309507.0,2797.0,575902.3,53381.0,1281144.0,56233.0,2166553.3
12-12-2019,0.0,0.0,28.0,216694.80000000002,1937.0,430207.7,36249.0,869976.0,38214.0,1516878.5
10-12-2019,0.0,0.0,42.0,203607.6,1841.0,406861.0,33951.0,814824.0,35834.0,1425292.6
07-12-2019,0.0,0.0,38.0,247414.19999999998,1998.0,535663.8,39541.0,948984.0,41577.0,1732062.0
05-12-2019,1.0,3658399.9,56.0,215163.19999999998,3105.0,111780.0,50637.0,1215288.0,53799.0,5200631.1
03-12-2019,0.0,0.0,16.0,196688.0,1593.0,399683.7,32523.0,780552.0,34132.0,1376923.7
30-11-2019,0.0,0.0,40.0,253320.0,2744.0,368244.8,47992.0,1151808.0,50776.0,1773372.8
28-11-2019,1.0,8003335.1,84.0,260156.4,4158.0,149688.0,61074.0,1465776.0,65317.0,9878955.5
26-11-2019,0.0,0.0,44.0,250338.0,2504.0,359324.0,47614.0,1142736.0,50162.0,1752398.0
23-11-2019,0.0,0.0,30.0,288129.0,2478.0,545903.4,49294.0,1183056.0,51802.0,2017088.4
21-11-2019,0.0,0.0,35.0,208631.5,1907.0,406381.7,35231.0,845544.0,37173.0,1460557.2
19-11-2019,0.0,0.0,30.0,195495.0,1431.0,461497.5,29647.0,711528.0,31108.0,1368520.5
16-11-2019,0.0,0.0,56.0,252420.0,2353.0,426598.9,45335.0,1088040.0,47744.0,1767058.9
14-11-2019,1.0,10512457.6,43.0,294089.9,2687.0,520740.60000000003,51826.0,1243824.0,54557.0,12571112.1
12-11-2019,0.0,0.0,35.0,217609.0,1709.0,518510.6,32803.0,787272.0,34547.0,1523391.6
09-11-2019,0.0,0.0,59.0,344347.6,3120.0,625560.0,60026.0,1440624.0,63205.0,2410531.6
07-11-2019,0.0,0.0,39.0,237038.09999999998,2326.0,398211.19999999995,42671.0,1024104.0,45036.0,1659353.2999999998
05-11-2019,0.0,0.0,33.0,221538.9,1930.0,441198.0,37008.0,888192.0,38971.0,1550928.9
02-11-2019,0.0,0.0,31.0,202792.69999999998,1800.0,390060.0,34452.0,826848.0,36283.0,1419700.7
31-10-2019,0.0,0.0,33.0,210302.4,1931.0,390448.19999999995,36307.0,871368.0,38271.0,1472118.6
29-10-2019,0.0,0.0,26.0,183648.4,1715.0,274057.0,34496.0,827904.0,36237.0,1285609.4
26-10-2019,1.0,3514427.2,41.0,272281.0,2278.0,578384.2000000001,43976.0,1055424.0,46296.0,5420516.4
24-10-2019,0.0,0.0,56.0,183848.0,2121.0,260034.59999999998,35130.0,843120.0,37307.0,1287002.6
22-10-2019,0.0,0.0,32.0,182864.0,1746.0,347104.80000000005,31255.0,750120.0,33033.0,1280088.8
19-10-2019,1.0,9886017.0,63.0,356787.9,3756.0,472880.4,69495.0,1667880.0,73315.0,12383565.3
17-10-2019,0.0,0.0,87.0,253570.19999999998,3359.0,148131.9,57220.0,1373280.0,60666.0,1774982.1
15-10-2019,0.0,0.0,24.0,241449.59999999998,2176.0,432153.6,42363.0,1016712.0,44563.0,1690315.2
12-10-2019,0.0,0.0,59.0,307921.0,3452.0,329320.80000000005,63266.0,1518384.0,66777.0,2155625.8
10-10-2019,0.0,0.0,76.0,209744.80000000002,3231.0,116316.0,49716.0,1193184.0,53023.0,1519244.8
08-10-2019,0.0,0.0,38.0,179990.80000000002,1688.0,334730.4,31052.0,745248.0,32778.0,1259969.2000000002
05-10-2019,0.0,0.0,45.0,248017.5,2670.0,349503.0,47450.0,1138800.0,50165.0,1736320.5
03-10-2019,1.0,7937904.9,73.0,250762.3,2927.0,362655.3,47580.0,1141920.0,50581.0,9693242.5
01-10-2019,0.0,0.0,47.0,246186.0,3702.0,300972.6,49009.0,1176216.0,52758.0,1723374.6
28-09-2019,0.0,0.0,36.0,289418.39999999997,2547.0,593196.3,47639.0,1143336.0,50222.0,2025950.7
